MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
12.240,499,132,473,3
12.260,499,196,473,3
12.280,499,128,472,3
12.300,497,192,472,3
12.320,498,64,472,3
12.340,499,192,472,3
12.360,499,204,471,3
12.380,499,204,471,3
12.400,499,140,471,3
12.420,499,200,470,3
12.440,498,8,470,3
12.460,499,132,469,3
12.480,499,68,469,3
12.500,499,196,469,3
12.520,498,192,468,3
12.540,498,192,468,3
12.560,498,64,468,3
12.580,499,140,467,3
12.600,499,204,467,3
12.620,499,204,467,3
12.640,499,200,466,3
12.660,499,204,467,3
12.680,499,200,466,3
12.700,498,132,465,3
12.720,499,196,465,3
12.740,499,196,465,3
12.760,499,192,464,3
12.780,498,128,464,3
12.800,499,140,463,3
12.820,499,140,463,3
12.840,499,204,463,3
12.860,499,204,463,3
12.880,499,204,463,3
12.900,500,200,462,3
12.920,498,200,462,3
12.940,499,196,461,3
12.960,499,132,461,3
12.980,500,196,461,3
13.000,499,192,460,3
13.020,498,192,460,3
13.040,500,128,460,3
13.060,499,192,460,3
13.080,499,204,459,3
13.100,498,204,459,3
13.120,499,204,459,3
13.140,499,200,458,3
13.160,500,8,458,3
13.180,499,136,458,3
13.200,499,196,457,3
13.220,499,196,457,3
13.240,499,0,456,3
13.260,499,192,456,3
13.280,499,128,456,3
13.300,499,12,455,3
13.320,499,204,455,3
13.340,499,204,455,3
13.360,500,140,455,3
13.380,500,204,455,3
13.400,499,200,454,3
13.420,500,8,454,3
13.440,500,196,453,3
13.460,499,196,453,3
13.480,500,196,453,3
13.500,500,196,453,3
13.520,500,192,452,3
13.540,500,192,452,3
13.560,499,192,452,3
13.580,500,204,451,3
13.600,499,204,451,3
13.620,499,12,451,3
13.640,500,8,450,3
13.660,500,200,450,3
13.680,500,8,450,3
13.700,499,4,449,3
13.720,500,196,449,3
13.740,500,4,449,3
13.760,500,4,449,3
13.780,500,0,448,3
13.800,500,0,448,3
13.820,500,192,448,3
13.840,499,0,448,3
13.860,500,204,447,3
13.880,499,204,447,3
