# [0]SEQN, [1]Timestamp, [2]CPU_User, [3]CPU_System, [4]CPU_Nice, [5]CPU_IOWait, [6]CPU_IRQ, [7]CPU_SoftIRQ, [8]RAM_Used, [9]RAM_Buffer, [10]RAM_Cached, [11]PID, [12]Disk_Used, [13]Disk_Read, [14]Disk_Write, [15]IO_lo_Bytes_Sent, [16]IO_lo_Bytes_Recv, [17]IO_lo_Packets_Sent, [18]IO_lo_Packets_Recv, [19]IO_eth0_Bytes_Sent, [20]IO_eth0_Bytes_Recv, [21]IO_eth0_Packets_Sent, [22]IO_eth0_Packets_Recv, [23]IO_wlan0_Bytes_Sent, [24]IO_wlan0_Bytes_Recv, [25]IO_wlan0_Packets_Sent, [26]IO_wlan0_Packets_Recv, [27]Core_Temp
927,201744225731457,1.10000002384,3.29999995232,0.0,0.0,0.0,1.10000002384,109989888,25849856,36794368,69,2582458368,0,0,156,156,1,1,0,404598,0,1171,376408,0,276,0,56000
953,201744732208991,0.0,2.29999995232,0.0,0.0,0.0,0.0,110022656,25849856,36855808,69,2582491136,0,0,156,156,1,1,0,491854,0,1235,464640,0,340,0,56000
978,201745238681288,2.09999990463,3.20000004768,0.0,0.0,0.0,0.0,110120960,25849856,36855808,69,2582519808,0,0,156,156,1,1,0,321656,0,1112,291006,42,215,1,56000
1003,201745745274480,3.20000004768,4.19999980927,0.0,0.0,0.0,1.10000002384,110022656,25849856,36913152,69,2582548480,0,0,156,156,1,1,0,385390,0,1155,355746,0,261,0,56000
1029,201746251869976,3.20000004768,4.19999980927,0.0,0.0,0.0,0.0,110313472,25849856,36913152,69,2582577152,0,0,156,156,1,1,0,393842,0,1165,365492,0,268,0,56000
1055,201746758115009,3.09999990463,6.30000019073,0.0,0.0,0.0,1.0,110080000,25849856,36974592,69,2582609920,0,0,156,156,1,1,0,490352,0,1232,462048,0,338,0,56000
1080,201747264339788,2.09999990463,2.09999990463,0.0,0.0,0.0,1.10000002384,110477312,25849856,36974592,69,2582638592,0,0,156,156,1,1,0,331116,0,1118,300618,0,221,0,56000
1106,201747771106117,0.0,3.29999995232,0.0,0.0,0.0,1.10000002384,110313472,25849856,37031936,69,2582667264,0,12288,156,156,1,1,0,390922,0,1160,361194,0,265,0,55000
1131,201748277582185,2.20000004768,2.20000004768,0.0,0.0,0.0,0.0,110510080,25849856,37031936,69,2582700032,0,0,156,156,1,1,0,404588,0,1171,376524,0,276,0,55000
1157,201748783743827,2.20000004768,3.29999995232,0.0,0.0,0.0,0.0,110247936,25849856,37093376,69,2582728704,0,0,156,156,1,1,0,480968,0,1227,452140,0,331,0,56000
1182,201749290045431,2.09999990463,4.19999980927,0.0,0.0,0.0,1.0,110247936,25849856,37093376,69,2582757376,0,0,156,156,1,1,0,347382,0,1129,315766,0,232,0,56000
1209,201749796364776,1.10000002384,1.10000002384,0.0,0.0,0.0,0.0,110444544,25849856,37154816,69,2582794240,0,0,156,156,1,1,0,392430,0,1162,363912,0,267,0,55000
1235,201750302988348,3.20000004768,4.19999980927,0.0,0.0,0.0,1.10000002384,110444544,25849856,37154816,69,2582822912,0,0,156,156,1,1,0,388252,0,1159,360172,0,265,0,55000
1260,201750809262505,2.20000004768,2.20000004768,0.0,0.0,0.0,2.20000004768,110637056,25849856,37212160,69,2582851584,0,0,156,156,1,1,0,479444,0,1225,450802,0,330,0,55000
1285,201751315565576,2.20000004768,2.20000004768,0.0,0.0,0.0,0.0,110637056,25849856,37212160,69,2582880256,0,0,156,156,1,1,0,347458,0,1130,315738,0,232,0,55000
1312,201751822066787,2.20000004768,3.29999995232,0.0,0.0,0.0,0.0,110833664,25849856,37269504,69,2582913024,0,0,156,156,1,1,0,384192,0,1155,356008,0,261,0,55000
1337,201752328539084,1.10000002384,1.10000002384,0.0,0.0,0.0,0.0,110833664,25849856,37269504,69,2582945792,0,0,156,156,1,1,0,403226,0,1170,375136,0,275,0,55000
1362,201752834625367,2.20000004768,3.29999995232,0.0,0.0,0.0,1.10000002384,110370816,25849856,37330944,69,2582974464,0,12288,156,156,1,1,0,471346,0,1220,442534,0,324,0,55000
1387,201753341201448,2.20000004768,2.20000004768,0.0,0.0,0.0,0.0,110379008,25849856,37330944,69,2583003136,0,0,156,156,1,1,0,350042,0,1130,319872,0,235,0,55000
1414,201753847739186,1.10000002384,3.20000004768,0.0,0.0,0.0,1.10000002384,110739456,25849856,37388288,69,2583031808,0,0,156,156,1,1,0,391068,0,1161,359842,0,264,0,55000
1439,201754354229501,3.20000004768,4.19999980927,0.0,0.0,0.0,0.0,110768128,25849856,37388288,69,2583064576,0,0,156,156,1,1,0,401938,0,1170,373694,0,274,0,55000
1465,201754860336738,1.10000002384,3.29999995232,0.0,0.0,0.0,1.10000002384,110538752,25849856,37449728,69,2583093248,0,0,156,156,1,1,0,463188,0,1213,435632,0,319,0,55000
1490,201755366781936,2.09999990463,3.20000004768,0.0,0.0,0.0,1.10000002384,110735360,25849856,37449728,69,2583121920,0,0,156,156,1,1,0,365098,0,1142,335094,0,246,0,55000
1516,201755873484848,1.10000002384,4.30000019073,0.0,0.0,0.0,0.0,110604288,25849856,37507072,69,2583154688,0,0,156,156,1,1,0,395066,0,1164,365366,0,268,0,55000
1541,201756380041303,1.10000002384,2.20000004768,0.0,0.0,0.0,2.20000004768,110993408,25849856,37507072,69,2583183360,0,0,156,156,1,1,0,397852,0,1167,369560,0,271,0,55000
1567,201756886196939,2.20000004768,2.20000004768,0.0,0.0,0.0,0.0,110895104,25849856,37568512,69,2583216128,0,0,156,156,1,1,0,455016,0,1207,426286,0,312,0,55000
1592,201757392785452,3.29999995232,1.10000002384,0.0,0.0,0.0,0.0,110993408,25849856,37568512,69,2583244800,0,0,156,156,1,1,0,358214,0,1136,326762,0,240,0,55000
1618,201757898994796,1.10000002384,4.30000019073,0.0,0.0,0.0,1.10000002384,110731264,25849856,37629952,69,2583269376,0,1908736,156,156,1,1,0,389692,0,1161,361232,0,265,0,55000
1644,201758405673543,1.10000002384,5.30000019073,0.0,0.0,0.0,0.0,110731264,25849856,37629952,69,2583298048,0,0,156,156,1,1,0,405884,0,1171,378022,0,278,0,55000
1670,201758911851319,2.20000004768,3.20000004768,0.0,0.0,0.0,1.10000002384,111091712,25849856,37687296,69,2583330816,0,0,156,156,1,1,0,446844,0,1201,417718,0,306,0,56000
1695,201759418169616,1.10000002384,4.30000019073,0.0,0.0,0.0,1.10000002384,111001600,25849856,37687296,69,2583359488,0,0,156,156,1,1,0,365164,0,1143,335030,0,246,0,56000
1722,201759924730680,1.10000002384,3.29999995232,0.0,0.0,0.0,1.10000002384,111095808,25849856,37744640,69,2583388160,0,0,156,156,1,1,0,401898,0,1168,372280,0,273,0,56000
1747,201760430834425,1.10000002384,5.30000019073,0.0,0.0,0.0,1.10000002384,111222784,25849856,37744640,69,2583420928,0,0,156,156,1,1,0,415558,0,1180,387502,0,284,0,56000
1772,201760937068772,2.09999990463,6.40000009537,0.0,0.0,0.0,0.0,110895104,25849856,37806080,69,2583449600,0,0,156,156,1,1,0,434498,0,1192,405328,0,297,0,55000
1797,201761443647506,2.09999990463,3.20000004768,0.0,0.0,0.0,1.10000002384,111190016,25849856,37806080,69,2583478272,0,0,156,156,1,1,0,365024,0,1141,335030,0,246,0,55000
1824,201761950309213,3.09999990463,3.09999990463,0.0,0.0,0.0,3.09999990463,111026176,25849856,37863424,69,2583511040,0,0,156,156,1,1,0,423830,0,1186,394592,0,289,0,56000
1849,201762457138189,3.0,4.0,0.0,1.0,0.0,5.0,111026176,25849856,37863424,69,2583539712,0,20480,156,156,1,1,0,407386,0,1174,379206,0,278,0,56000
1874,201762962573063,1.0,4.19999980927,0.0,0.0,0.0,4.19999980927,111321088,25849856,37924864,69,2583568384,0,0,156,156,1,1,0,409982,0,1174,380588,0,279,0,55000
1899,201763468748953,1.0,6.0,0.0,0.0,1.0,4.0,111415296,25849856,37924864,69,2583601152,0,0,156,156,1,1,0,381228,0,1151,350188,0,257,0,55000
1926,201763975207351,5.0,20.2000007629,0.0,0.0,0.0,1.70000004768,111218688,25849856,37982208,69,2583629824,0,0,156,156,1,1,0,404762,0,1172,377836,0,277,0,55000
1951,201764481887146,8.19999980927,12.6999998093,0.0,0.0,0.0,0.0,111120384,25849856,37982208,69,2583658496,0,0,156,156,1,1,0,429104,0,1189,398418,0,292,0,55000
1977,201764987994522,3.0,8.10000038147,0.0,0.0,0.0,0.0,111382528,25849856,38043648,69,2583691264,0,0,156,156,1,1,0,393800,0,1163,365354,0,268,0,56000
2002,201765494340405,4.19999980927,4.19999980927,0.0,0.0,0.0,0.0,111288320,25849856,38043648,69,2583719936,0,0,156,156,1,1,0,386816,0,1157,357142,0,262,0,56000
2029,201766001182093,1.10000002384,4.30000019073,0.0,0.0,0.0,0.0,111448064,25849856,38100992,69,2583748608,0,0,156,156,1,1,0,401950,0,1170,373844,0,275,0,55000
2054,201766507941786,1.10000002384,5.40000009537,0.0,0.0,0.0,0.0,111443968,25849856,38100992,69,2583781376,0,0,156,156,1,1,0,454982,0,1208,425978,0,312,0,55000
2080,201767014142400,0.0,6.30000019073,0.0,0.0,0.0,0.0,111443968,25849856,38162432,69,2583810048,0,0,156,156,1,1,0,363836,0,1141,334024,0,245,0,55000
2105,201767520469077,2.20000004768,1.10000002384,0.0,0.0,0.0,0.0,111509504,25849856,38162432,69,2583838720,0,12288,156,156,1,1,0,392264,0,1161,362590,0,266,0,55000
2131,201768027057031,1.10000002384,1.10000002384,0.0,0.0,0.0,0.0,111345664,25849856,38219776,69,2583871488,0,0,156,156,1,1,0,411484,0,1177,383388,0,281,0,55000
