# L-11 Launch (Up to date)
# 3480 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.3 m/s).
#
# Time (s),Altitude (km),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position upwind (km),Position parallel to wind (km),Lateral distance (km),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (kg),Propellant mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
2.4862,0.26694,210.5,75.214,210.62,75.263,0.0045902,4.9775e-4,0.0046171,6.1888,7.1803,2.727,43.8,-120.6,9.8,0.55711,0.045807,0.0029552,-1.3092e-4,29.995,2.9047,37.051,0.12205,2.7051,2.3802,2.3251,0.63155,44121734,2795.2,244.21,0.6871,0.68775,0.36428,0.15097,0.17185,0.11564,0.269,1.7622e-5,0,1.5993e-4,0.014582,0.014422,9.0498e-5,0.022139,0.1397,153.28,87.245,0.45247,NaN,4.2364,829.78,333.87,0.01,0.81496
2.4962,0.26905,211.25,75.086,211.38,75.138,0.004662,5.0208e-4,0.004689,6.1468,7.2077,2.8009,43.8,-120.6,9.8,0.52767,0.04591,0.0035159,-1.3016e-4,29.98,2.8902,37.04,0.12204,2.7062,2.3799,2.3363,0.63381,44271112,2792,246.01,0.6875,0.68808,0.36417,0.1511,0.17222,0.10939,0.25527,-2.802e-5,0,1.567e-4,0.014594,0.014437,1.2718e-4,0.022219,0.1397,153.28,87.233,0.50226,NaN,4.2227,829.56,333.86,0.01,0.81638
2.5062,0.27116,212.01,74.936,212.13,74.99,0.0047341,5.0639e-4,0.0047611,6.1054,7.2358,2.8429,43.8,-120.6,9.8,0.51149,0.046011,0.0040549,-1.4924e-4,29.966,2.8761,37.03,0.12202,2.7069,2.3795,2.344,0.63608,44420825,2788.2,247.85,0.6879,0.68845,0.36407,0.15124,0.1726,0.10598,0.24822,5.9524e-5,0,1.5364e-4,0.014606,0.014453,1.6798e-4,0.022298,0.1397,153.28,87.22,0.55915,NaN,4.2089,829.35,333.85,0.01,0.81765
2.5162,0.27329,212.75,74.782,212.88,74.837,0.0048065,5.1068e-4,0.0048335,6.0648,7.2642,2.8694,43.8,-120.6,9.8,0.50242,0.046111,0.0045884,-1.8476e-4,29.952,2.8624,37.02,0.122,2.7074,2.3791,2.3498,0.63835,44570549,2784.3,249.69,0.6883,0.68883,0.36396,0.15137,0.17297,0.10408,0.24407,-2.5167e-4,0,1.5065e-4,0.014619,0.014468,2.1357e-4,0.022377,0.1397,153.28,87.205,0.62286,NaN,4.1951,829.13,333.84,0.01,0.82326
2.5262,0.27542,213.5,74.627,213.63,74.684,0.0048792,5.1495e-4,0.0049063,6.0248,7.2929,2.9035,43.8,-120.6,9.8,0.49152,0.04621,0.0051162,-2.2533e-4,29.939,2.8488,37.01,0.12199,2.7079,2.3788,2.3561,0.64061,4.472e7,2780.5,251.54,0.68871,0.68921,0.36385,0.15151,0.17335,0.10178,0.24003,-1.5718e-4,0,1.4766e-4,0.014632,0.014484,2.6367e-4,0.022456,0.1397,153.28,87.187,0.69299,NaN,4.1813,828.92,333.83,0.01,0.82527
2.5362,0.27756,214.25,74.472,214.37,74.531,0.0049521,5.1921e-4,0.0049792,5.9854,7.322,2.9453,43.8,-120.6,9.8,0.47883,0.046308,0.0056355,-2.7149e-4,29.925,2.8352,37,0.12197,2.7085,2.3784,2.3628,0.64287,44868798,2776.6,253.39,0.68911,0.68959,0.36374,0.15165,0.17373,0.099116,0.23427,4.5011e-4,0,1.4467e-4,0.014644,0.0145,3.1768e-4,0.022535,0.1397,153.28,87.168,0.7691,NaN,4.1674,828.7,333.82,0.01,0.82646
2.5462,0.2797,214.99,74.316,215.12,74.377,0.0050253,5.2346e-4,0.0050525,5.9467,7.3516,2.9945,43.8,-120.6,9.8,0.4644,0.046404,0.0061442,-3.2443e-4,29.912,2.8216,36.991,0.12195,2.7091,2.378,2.37,0.64513,45017322,2772.7,255.24,0.68951,0.68997,0.36363,0.15178,0.1741,0.096083,0.22782,-2.4466e-4,0,1.417e-4,0.014657,0.014515,3.7501e-4,0.022613,0.1397,153.28,87.148,0.85071,NaN,4.1534,828.48,333.82,0.01,0.82772
2.5562,0.28186,215.74,74.159,215.86,74.223,0.0050989,5.2769e-4,0.0051261,5.9086,7.3818,3.0792,43.8,-120.6,9.8,0.43774,0.046499,0.0066385,-3.6174e-4,29.898,2.8081,36.981,0.12194,2.7102,2.3777,2.3804,0.64737,45164958,2768.8,257.09,0.68992,0.69032,0.36352,0.15192,0.17448,0.090471,0.2149,-3.2757e-4,0,1.3866e-4,0.01467,0.014531,4.3477e-4,0.022692,0.1397,153.28,87.125,0.93731,NaN,4.1394,828.27,333.81,0.01,0.8289
2.5662,0.28402,216.48,74.001,216.61,74.069,0.0051727,5.3192e-4,0.0052,5.8711,7.4131,3.1877,43.8,-120.6,9.8,0.40336,0.046592,0.0071019,-3.9001e-4,29.885,2.7945,36.971,0.12192,2.7116,2.3773,2.3928,0.64961,45311902,2764.9,258.92,0.69032,0.69067,0.36341,0.15206,0.17486,0.083246,0.19823,-3.1264e-4,0,1.3561e-4,0.014682,0.014547,4.9419e-4,0.02277,0.1397,153.28,87.101,1.0284,NaN,4.1254,828.05,333.8,0.01,0.83006
2.5762,0.28619,217.22,73.841,217.35,73.915,0.0052469,5.3613e-4,0.0052742,5.8343,7.4455,3.3027,43.8,-120.6,9.8,0.36776,0.046684,0.0075305,-4.2355e-4,29.871,2.7809,36.961,0.1219,2.713,2.3769,2.4057,0.65184,45458446,2761,260.77,0.69073,0.69101,0.3633,0.1522,0.17524,0.075786,0.18192,4.593e-4,0,1.326e-4,0.014695,0.014563,5.5188e-4,0.022848,0.1397,153.28,87.075,1.1234,NaN,4.1113,827.83,333.79,0.01,0.84357
2.5862,0.28836,217.96,73.681,218.08,73.761,0.0053214,5.4035e-4,0.0053488,5.798,7.479,3.4236,43.8,-120.6,9.8,0.33108,0.046775,0.0079226,-4.6368e-4,29.857,2.7674,36.951,0.12189,2.7145,2.3766,2.4188,0.65406,45604591,2757.2,262.62,0.69113,0.69136,0.36318,0.15233,0.17561,0.068122,0.16435,-3.5053e-6,0,1.2964e-4,0.014708,0.014578,6.0672e-4,0.022926,0.1397,153.28,87.047,1.2218,NaN,4.0971,827.61,333.78,0.01,0.84554
2.5962,0.29055,218.69,73.521,218.82,73.606,0.0053963,5.4455e-4,0.0054237,5.7624,7.5139,3.55,43.8,-120.6,9.7999,0.29347,0.046864,0.0082757,-5.128e-4,29.844,2.7538,36.941,0.12187,2.716,2.3762,2.4323,0.65629,4.575e7,2753.3,264.47,0.69154,0.69172,0.36307,0.15247,0.17599,0.060288,0.1464,4.7355e-4,0,1.2671e-4,0.014721,0.014594,6.5756e-4,0.023004,0.1397,153.28,87.018,1.3232,NaN,4.083,827.39,333.77,0.01,0.84677
2.6062,0.29274,219.43,73.36,219.56,73.451,0.0054715,5.4876e-4,0.0054989,5.7273,7.55,3.6579,43.8,-120.6,9.7999,0.26368,0.046952,0.0085878,-6.1215e-4,29.83,2.7402,36.931,0.12186,2.7172,2.3758,2.4436,0.65851,45896075,2749.4,266.34,0.69194,0.69209,0.36296,0.15261,0.17637,0.054101,0.13191,6.6674e-6,0,1.2387e-4,0.014734,0.01461,7.0336e-4,0.023081,0.1397,153.28,86.988,1.4269,NaN,4.0687,827.17,333.76,0.01,0.84797
2.6162,0.29493,220.16,73.2,220.29,73.296,0.005547,5.5297e-4,0.0055745,5.6929,7.587,3.7564,43.8,-120.6,9.7999,0.23826,0.047038,0.0088673,-7.6093e-4,29.817,2.7267,36.921,0.12184,2.7183,2.3755,2.4539,0.66073,46041648,2745.5,268.21,0.69235,0.69247,0.36285,0.15275,0.17675,0.048837,0.11869,-4.8299e-5,0,1.2109e-4,0.014747,0.014626,7.4489e-4,0.023159,0.1397,153.28,86.957,1.5324,NaN,4.0544,826.94,333.76,0.01,0.84929
2.6262,0.29714,220.89,73.039,221.03,73.141,0.005623,5.5719e-4,0.0056505,5.659,7.6251,3.859,43.8,-120.6,9.7999,0.21216,0.047123,0.0091135,-9.4611e-4,29.803,2.7131,36.911,0.12182,2.7194,2.3751,2.4644,0.66295,46186815,2741.6,270.09,0.69276,0.69286,0.36274,0.15289,0.17714,0.043442,0.10675,-4.5652e-4,0,1.1832e-4,0.01476,0.014642,7.816e-4,0.023236,0.1397,153.28,86.925,1.6393,NaN,4.0401,826.72,333.75,0.01,0.85055
2.6362,0.29935,221.62,72.877,221.76,72.985,0.0056993,5.6141e-4,0.0057269,5.6257,7.6642,3.9654,43.8,-120.6,9.7999,0.18552,0.047206,0.009321,-0.001184,29.79,2.6995,36.902,0.12181,2.7205,2.3747,2.475,0.66516,46331577,2737.7,271.98,0.69317,0.69325,0.36263,0.15303,0.17752,0.037945,0.093449,-5.759e-5,0,1.1556e-4,0.014774,0.014658,8.1221e-4,0.023313,0.1397,153.28,86.893,1.7468,NaN,4.0257,826.5,333.74,0.01,0.85179
2.6462,0.30157,222.35,72.715,222.49,72.829,0.005776,5.6564e-4,0.0058037,5.593,7.7045,4.0751,43.8,-120.6,9.7999,0.15849,0.047288,0.0094805,-0.0015027,29.776,2.686,36.892,0.12179,2.7216,2.3744,2.4857,0.66737,46475931,2733.9,273.87,0.69358,0.69364,0.36252,0.15316,0.1779,0.032381,0.079734,3.802e-6,0,1.1282e-4,0.014787,0.014674,8.3474e-4,0.02339,0.1397,153.28,86.859,1.8545,NaN,4.0113,826.27,333.73,0.01,0.853
2.6562,0.3038,223.08,72.552,223.21,72.673,0.0058532,5.6988e-4,0.0058808,5.5609,7.7458,4.1982,43.8,-120.6,9.7999,0.12739,0.047369,0.0095723,-0.0019499,29.762,2.6724,36.882,0.12177,2.7229,2.374,2.4976,0.66958,4.662e7,2730,275.76,0.69399,0.69403,0.36241,0.1533,0.17828,0.025994,0.06409,3.3755e-4,0,1.1007e-4,0.0148,0.01469,8.4544e-4,0.023466,0.1397,153.28,86.824,1.9619,NaN,3.9968,826.05,333.72,0.01,0.8596
2.6662,0.30603,223.81,72.388,223.94,72.517,0.0059307,5.7414e-4,0.0059584,5.5294,7.7885,4.3299,43.8,-120.6,9.7999,0.094172,0.047448,0.0095267,-0.0026894,29.749,2.6588,36.872,0.12176,2.7243,2.3736,2.5101,0.67177,46762940,2726.1,277.65,0.6944,0.69442,0.36229,0.15344,0.17867,0.019189,0.047382,4.7912e-4,0,1.0733e-4,0.014814,0.014706,8.3198e-4,0.023543,0.1397,153.28,86.79,2.0685,NaN,3.9823,825.82,333.71,0.01,0.86088
2.6762,0.30828,224.53,72.223,224.67,72.361,0.0060087,5.7842e-4,0.0060365,5.4985,7.8325,4.4632,43.8,-120.6,9.7999,0.061997,0.047526,0.0090868,-0.0041473,29.735,2.6453,36.862,0.12174,2.7256,2.3733,2.5223,0.67396,46905775,2722.2,279.55,0.69482,0.69482,0.36218,0.15358,0.17905,0.012616,0.031389,2.5012e-4,0,1.0462e-4,0.014827,0.014722,7.5204e-4,0.023619,0.1397,153.28,86.754,2.1739,NaN,3.9677,825.59,333.7,0.01,0.86208
2.6862,0.31052,225.25,72.058,225.39,72.205,0.0060871,5.8272e-4,0.006115,5.4682,7.8779,4.5974,43.8,-120.6,9.7999,0.034162,0.047602,0.0065462,-0.0076087,29.722,2.6317,36.852,0.12173,2.7268,2.3729,2.5334,0.67615,47048199,2718.3,281.45,0.69523,0.69523,0.36207,0.15372,0.17943,0.0069441,0.017408,7.2891e-4,0,1.0194e-4,0.014841,0.014739,3.878e-4,0.023695,0.1397,153.28,86.719,2.2777,NaN,3.9531,825.36,333.69,0.01,0.86334
2.6962,0.31278,225.97,71.893,226.11,72.048,0.006166,5.8704e-4,0.0061939,5.4385,7.9246,4.7319,43.8,-120.6,9.7999,0.028511,0.047676,-0.0040813,-0.0091798,29.708,2.6181,36.842,0.12171,2.7272,2.3725,2.5384,0.67833,4.719e7,2714.4,283.36,0.69564,0.69564,0.36196,0.15386,0.17982,0.005795,0.015339,3.2811e-4,0,9.9277e-5,0.014854,0.014755,-1.4978e-4,0.023771,0.1397,153.28,86.683,2.3794,NaN,3.9384,825.14,333.69,0.01,0.87158
2.7062,0.31504,226.69,71.726,226.83,71.892,0.0062454,5.9139e-4,0.0062733,5.4093,7.9726,4.8816,43.8,-120.6,9.7999,0.056199,0.047749,-0.00895,-0.0044772,29.695,2.6046,36.832,0.12169,2.7262,2.3722,2.5344,0.68051,47331556,2710.6,285.27,0.69605,0.69606,0.36185,0.154,0.1802,0.01144,0.029549,-9.3138e-5,0,9.6612e-5,0.014868,0.014771,-7.1572e-4,0.023846,0.1397,153.28,86.647,2.4787,NaN,3.9237,824.91,333.68,0.01,0.87286
2.7162,0.31731,227.41,71.558,227.55,71.736,0.0063252,5.9577e-4,0.0063532,5.3808,8.0223,5.0397,43.8,-120.6,9.7999,0.094402,0.047821,-0.0096004,-0.002479,29.681,2.591,36.822,0.12168,2.7249,2.3718,2.5275,0.68267,47472334,2706.7,287.19,0.69646,0.69648,0.36173,0.15414,0.18059,0.019256,0.049673,-3.2387e-4,0,9.3962e-5,0.014881,0.014788,-8.1835e-4,0.023922,0.1397,153.28,86.612,2.575,NaN,3.909,824.68,333.67,0.01,0.87885
2.7262,0.31959,228.12,71.39,228.27,71.579,0.0064056,6.0019e-4,0.0064337,5.3528,8.0735,5.1966,43.8,-120.6,9.7999,0.1335,0.047891,-0.0096349,-0.0016152,29.667,2.5774,36.812,0.12166,2.7235,2.3714,2.5204,0.68484,47612697,2702.8,289.11,0.69688,0.69691,0.36162,0.15428,0.18097,0.027288,0.069913,-4.2913e-4,0,9.1346e-5,0.014895,0.014804,-8.1909e-4,0.023997,0.1397,153.28,86.577,2.6682,NaN,3.8942,824.45,333.66,0.01,0.88014
2.7362,0.32188,228.84,71.222,228.98,71.422,0.0064865,6.0464e-4,0.0065146,5.3255,8.1263,5.3514,43.8,-120.6,9.7998,0.1721,0.047959,-0.0095023,-0.0011423,29.654,2.5639,36.802,0.12164,2.7222,2.3711,2.5135,0.687,47752645,2698.9,291.04,0.69729,0.69735,0.36151,0.15443,0.18136,0.035248,0.089352,-6.7877e-5,0,8.8761e-5,0.014909,0.01482,-7.9174e-4,0.024072,0.1397,153.28,86.542,2.7579,NaN,3.8793,824.22,333.65,0.01,0.88128
2.7462,0.32417,229.55,71.053,229.7,71.266,0.0065679,6.0913e-4,0.0065961,5.2987,8.1806,5.5032,43.8,-120.6,9.7998,0.20969,0.048026,-0.0092834,-8.4436e-4,29.64,2.5503,36.792,0.12163,2.7209,2.3707,2.5069,0.68915,47892176,2695,292.97,0.6977,0.6978,0.3614,0.15457,0.18174,0.043032,0.10894,-3.1818e-4,0,8.6204e-5,0.014923,0.014837,-7.5101e-4,0.024147,0.1397,153.28,86.509,2.844,NaN,3.8644,823.98,333.64,0.01,0.89462
2.7562,0.32647,230.26,70.884,230.41,71.109,0.0066498,6.1366e-4,0.0066781,5.2725,8.2364,5.6505,43.8,-120.6,9.7998,0.24577,0.048092,-0.0089991,-6.4113e-4,29.627,2.5367,36.782,0.12161,2.7197,2.3703,2.5007,0.6913,48031300,2691.1,294.91,0.69812,0.69825,0.36128,0.15471,0.18213,0.050534,0.12749,3.8052e-4,0,8.3675e-5,0.014937,0.014853,-7.0138e-4,0.024222,0.1397,153.28,86.476,2.9262,NaN,3.8495,823.75,333.63,0.01,0.89592
2.7662,0.32877,230.97,70.715,231.12,70.951,0.0067324,6.1824e-4,0.0067607,5.2468,8.2937,5.7927,43.8,-120.6,9.7998,0.28023,0.048156,-0.0086605,-4.9371e-4,29.613,2.5232,36.772,0.12159,2.7185,2.37,2.495,0.69344,4.817e7,2687.2,296.85,0.69853,0.6987,0.36117,0.15485,0.18251,0.057723,0.14484,3.4726e-4,0,8.1171e-5,0.014951,0.01487,-6.4561e-4,0.024296,0.1397,153.28,86.445,3.0043,NaN,3.8345,823.52,333.62,0.01,0.89711
2.7762,0.33109,231.68,70.545,231.83,70.794,0.0068155,6.2287e-4,0.0068439,5.2218,8.3523,5.9294,43.8,-120.6,9.7998,0.313,0.048218,-0.0082712,-3.811e-4,29.6,2.5096,36.762,0.12158,2.7174,2.3696,2.4898,0.69558,48308305,2683.4,298.79,0.69895,0.69916,0.36106,0.15499,0.1829,0.064586,0.16121,3.7178e-4,0,7.8691e-5,0.014965,0.014886,-5.8529e-4,0.02437,0.1397,153.28,86.415,3.0781,NaN,3.8194,823.28,333.61,0.01,0.89835
2.7862,0.33341,232.38,70.376,232.53,70.637,0.0068992,6.2755e-4,0.0069276,5.1973,8.4123,6.0598,43.8,-120.6,9.7998,0.34393,0.048279,-0.0078362,-2.9208e-4,29.586,2.496,36.752,0.12156,2.7164,2.3692,2.4852,0.69772,48446177,2679.5,300.74,0.69936,0.69962,0.36095,0.15513,0.18329,0.071087,0.17711,-1.6928e-4,0,7.6232e-5,0.014979,0.014903,-5.2215e-4,0.024444,0.1397,153.28,86.386,3.1474,NaN,3.8044,823.05,333.6,0.01,0.89951
2.7962,0.33573,233.09,70.207,233.24,70.479,0.0069835,6.3227e-4,0.007012,5.1734,8.4735,6.1831,43.8,-120.6,9.7998,0.37289,0.048338,-0.0073568,-2.1968e-4,29.572,2.4825,36.742,0.12155,2.7154,2.3688,2.481,0.69985,48583628,2675.6,302.69,0.69978,0.70008,0.36083,0.15527,0.18367,0.077192,0.19161,2.7345e-4,0,7.3795e-5,0.014993,0.014919,-4.5746e-4,0.024518,0.1397,153.28,86.359,3.2121,NaN,3.7892,822.81,333.6,0.01,0.90063
2.8062,0.33807,233.79,70.039,233.94,70.321,0.0070684,6.3706e-4,0.007097,5.15,8.5359,6.2908,43.8,-120.6,9.7998,0.39727,0.048395,-0.0068372,-1.7083e-4,29.559,2.4689,36.732,0.12153,2.7147,2.3685,2.4781,0.70198,48720779,2671.7,304.65,0.7002,0.70053,0.36072,0.15542,0.18406,0.08235,0.20485,-2.0627e-4,0,7.1389e-5,0.015007,0.014936,-3.9274e-4,0.024592,0.1397,153.28,86.333,3.2721,NaN,3.7741,822.58,333.59,0.01,0.90176
2.8162,0.34041,234.49,69.871,234.65,70.162,0.0071539,6.419e-4,0.0071826,5.1273,8.5993,6.3852,43.8,-120.6,9.7998,0.41799,0.048451,-0.0062834,-1.3498e-4,29.545,2.4553,36.722,0.12151,2.714,2.3681,2.4762,0.7041,48857582,2667.8,306.6,0.70061,0.70099,0.36061,0.15556,0.18445,0.086746,0.21553,-2.466e-4,0,6.9006e-5,0.015021,0.014952,-3.2972e-4,0.024666,0.1397,153.28,86.31,3.3272,NaN,3.7588,822.34,333.58,0.01,0.90292
2.8262,0.34276,235.19,69.703,235.35,70.003,0.0072401,6.468e-4,0.0072689,5.105,8.6636,6.4706,43.8,-120.6,9.7998,0.43643,0.048506,-0.0056995,-1.0536e-4,29.532,2.4418,36.711,0.1215,2.7135,2.3677,2.4749,0.70622,48993963,2663.9,308.56,0.70103,0.70144,0.36049,0.1557,0.18484,0.09067,0.22456,-3.2521e-4,0,6.6638e-5,0.015036,0.014969,-2.6968e-4,0.024739,0.1397,153.28,86.289,3.3773,NaN,3.7436,822.1,333.57,0.01,0.90655
2.8362,0.34511,235.88,69.536,236.04,69.844,0.0073269,6.5176e-4,0.0073558,5.0833,8.7287,6.5462,43.8,-120.6,9.7998,0.45252,0.048559,-0.0050882,-7.8864e-5,29.518,2.4282,36.701,0.12148,2.713,2.3674,2.4743,0.70834,4.913e7,2660.1,310.52,0.70145,0.70189,0.36038,0.15584,0.18523,0.094103,0.23349,3.6799e-4,0,6.4284e-5,0.01505,0.014986,-2.1366e-4,0.024812,0.1397,153.28,86.27,3.4223,NaN,3.7283,821.86,333.56,0.01,0.90784
2.8462,0.34748,236.58,69.37,236.74,69.684,0.0074144,6.5679e-4,0.0074434,5.0622,8.7945,6.6117,43.8,-120.6,9.7998,0.46619,0.04861,-0.0044523,-5.7656e-5,29.505,2.4146,36.691,0.12146,2.7126,2.367,2.4743,0.71045,49265454,2656.2,312.48,0.70187,0.70233,0.36027,0.15599,0.18562,0.097028,0.24046,-3.9063e-4,0,6.1945e-5,0.015065,0.015003,-1.6263e-4,0.024885,0.1397,153.28,86.253,3.4619,NaN,3.7129,821.62,333.55,0.01,0.90897
2.8562,0.34985,237.27,69.204,237.44,69.524,0.0075025,6.6187e-4,0.0075316,5.0416,8.8609,6.6602,43.8,-120.6,9.7998,0.47545,0.04866,-0.0037956,-4.414e-5,29.491,2.4011,36.681,0.12145,2.7124,2.3666,2.4754,0.71255,49400665,2652.3,314.44,0.70229,0.70277,0.36015,0.15613,0.18601,0.099016,0.24526,-6.2043e-5,0,5.963e-5,0.015079,0.01502,-1.175e-4,0.024958,0.1397,153.28,86.238,3.4962,NaN,3.6975,821.39,333.54,0.01,0.91014
2.8662,0.35222,237.96,69.04,238.13,69.363,0.0075913,6.6703e-4,0.0076205,5.0215,8.9277,6.6939,43.8,-120.6,9.7998,0.48105,0.048708,-0.0031242,-3.5505e-5,29.477,2.3875,36.671,0.12143,2.7123,2.3662,2.4775,0.71466,49535512,2648.4,316.4,0.70271,0.7032,0.36004,0.15627,0.1864,0.10023,0.24853,3.8584e-4,0,5.7332e-5,0.015094,0.015037,-7.9147e-5,0.02503,0.1397,153.28,86.226,3.5249,NaN,3.6821,821.14,333.53,0.01,0.91141
2.8762,0.3546,238.65,68.876,238.82,69.202,0.0076808,6.7225e-4,0.0077101,5.002,8.9948,6.7163,43.8,-120.6,9.7997,0.48417,0.048754,-0.002442,-2.8e-5,29.464,2.3739,36.661,0.12142,2.7124,2.3659,2.4803,0.71676,4.967e7,2644.5,318.36,0.70313,0.70363,0.35992,0.15642,0.18679,0.10092,0.2508,2.0926e-4,0,5.5045e-5,0.015109,0.015054,-4.8077e-5,0.025103,0.1397,153.28,86.216,3.5479,NaN,3.6666,820.9,333.52,0.01,0.91274
2.8862,0.35699,239.34,68.712,239.51,69.041,0.0077709,6.7753e-4,0.0078004,4.9829,9.062,6.7273,43.8,-120.6,9.7997,0.4848,0.048799,-0.0017517,-2.2256e-5,29.45,2.3603,36.651,0.1214,2.7125,2.3655,2.4837,0.71885,49803937,2640.6,320.32,0.70355,0.70405,0.35981,0.15656,0.18718,0.10107,0.25092,-6.348e-5,0,5.2771e-5,0.015123,0.015071,-2.4596e-5,0.025175,0.1397,153.28,86.208,3.5652,NaN,3.651,820.66,333.51,0.01,0.914
2.8962,0.35939,240.03,68.55,240.2,68.879,0.0078617,6.8289e-4,0.0078913,4.9644,9.1292,6.7268,43.8,-120.6,9.7997,0.48293,0.048842,-0.0010575,-1.8934e-5,29.437,2.3468,36.641,0.12138,2.7127,2.3651,2.4877,0.72094,49937516,2636.8,322.28,0.70397,0.70447,0.3597,0.1567,0.18757,0.10069,0.25075,2.9938e-4,0,5.051e-5,0.015138,0.015088,-8.9129e-6,0.025247,0.1397,153.28,86.203,3.5765,NaN,3.6355,820.42,333.5,0.01,0.92248
2.9062,0.3618,240.72,68.388,240.89,68.717,0.0079532,6.8831e-4,0.0079829,4.9464,9.1965,6.7159,43.8,-120.6,9.7997,0.479,0.048883,-3.6227e-4,-1.749e-5,29.423,2.3332,36.631,0.12137,2.7129,2.3647,2.4924,0.72302,50070651,2632.9,324.24,0.70439,0.70488,0.35958,0.15685,0.18796,0.099874,0.24851,-1.359e-4,0,4.826e-5,0.015153,0.015105,-1.0399e-6,0.025319,0.1397,153.28,86.201,3.5818,NaN,3.6198,820.18,333.49,0.01,0.92381
2.9162,0.36421,241.4,68.226,241.58,68.554,0.0080453,6.938e-4,0.0080751,4.9288,9.2635,6.6943,43.8,-120.6,9.7997,0.47287,0.048923,3.3107e-4,-1.6957e-5,29.41,2.3196,36.62,0.12135,2.7133,2.3644,2.4976,0.7251,50203351,2629,326.2,0.70481,0.70529,0.35947,0.15699,0.18835,0.098587,0.24586,4.2879e-4,0,4.6023e-5,0.015168,0.015122,8.6358e-7,0.025391,0.1397,153.28,86.201,3.581,NaN,3.6042,819.93,333.48,0.01,0.93055
2.9262,0.36662,242.08,68.065,242.26,68.391,0.0081381,6.9936e-4,0.0081681,4.9117,9.3303,6.661,43.8,-120.6,9.7997,0.46432,0.048961,0.0010188,-1.9984e-5,29.396,2.3061,36.61,0.12133,2.7137,2.364,2.5034,0.72718,50335628,2625.1,328.16,0.70523,0.70569,0.35935,0.15713,0.18874,0.096787,0.24192,-4.968e-4,0,4.3799e-5,0.015183,0.015139,8.1321e-6,0.025462,0.1397,153.28,86.203,3.574,NaN,3.5884,819.69,333.47,0.01,0.93179
2.9362,0.36905,242.76,67.905,242.94,68.227,0.0082316,7.0498e-4,0.0082617,4.8951,9.3967,6.6162,43.8,-120.6,9.7997,0.45342,0.048998,0.0016985,-2.3708e-5,29.383,2.2925,36.6,0.12132,2.7142,2.3636,2.5098,0.72925,50467482,2621.2,330.12,0.70565,0.7061,0.35924,0.15728,0.18913,0.094486,0.23719,4.376e-4,0,4.1589e-5,0.015198,0.015156,2.2476e-5,0.025534,0.1397,153.28,86.208,3.5607,NaN,3.5727,819.44,333.46,0.01,0.93352
2.9462,0.37148,243.44,67.746,243.63,68.063,0.0083257,7.1067e-4,0.008356,4.8789,9.4626,6.56,43.8,-120.6,9.7997,0.44022,0.049033,0.0023655,-2.992e-5,29.369,2.2789,36.59,0.1213,2.7148,2.3632,2.5169,0.73131,50598914,2617.3,332.08,0.70607,0.70649,0.35912,0.15742,0.18953,0.091698,0.2304,1.7021e-5,0,3.9391e-5,0.015213,0.015174,4.3348e-5,0.025605,0.1397,153.28,86.215,3.5411,NaN,3.5569,819.2,333.45,0.01,0.93956
2.9562,0.37392,244.12,67.586,244.3,67.899,0.0084205,7.1642e-4,0.0084509,4.8631,9.5279,6.5078,43.8,-120.6,9.7997,0.42912,0.049066,0.0030184,-4.4521e-5,29.355,2.2654,36.58,0.12129,2.7154,2.3629,2.5234,0.73337,5.073e7,2613.5,334.04,0.7065,0.70689,0.35901,0.15757,0.18992,0.089359,0.22524,-4.127e-4,0,3.7195e-5,0.015228,0.015191,7.0192e-5,0.025676,0.1397,153.28,86.225,3.515,NaN,3.541,818.95,333.44,0.01,0.94072
2.9662,0.37636,244.79,67.426,244.98,67.735,0.0085159,7.2224e-4,0.0085465,4.8477,9.5927,6.4536,43.8,-120.6,9.7997,0.4184,0.049097,0.0036602,-6.7218e-5,29.342,2.2518,36.57,0.12127,2.7159,2.3625,2.5298,0.73542,5.086e7,2609.6,336,0.70692,0.7073,0.3589,0.15771,0.19031,0.087099,0.21991,2.9293e-5,0,3.5009e-5,0.015244,0.015208,1.0264e-4,0.025747,0.1397,153.28,86.236,3.4824,NaN,3.5252,818.7,333.44,0.01,0.94189
